-10	-9	7	5	11	-12	-13	-14	6	-3	2	4	8	-4	-8	10	9	-7	-5	-11	12	13	14	-6	3	-2	
12	13	14	-6	-3	-7	4	8	-10	-9	-1	5	-11	-5	11	-12	-13	-14	6	3	7	-4	-8	10	9	1	
13	-14	-6	-7	2	4	-8	-10	-9	1	-5	11	12	-11	-12	-13	14	6	7	-2	-4	8	10	9	-1	5	
11	-12	13	14	6	-3	-2	7	8	10	-9	-1	-5	1	5	-11	12	-13	-14	-6	3	2	-7	-8	-10	9	
8	10	-9	-1	-7	11	12	-13	-14	-6	3	-2	4	2	-4	-8	-10	9	1	7	-11	-12	13	14	6	-3	
-14	7	3	2	-4	-8	-10	9	-1	5	11	12	-13	-12	13	14	-7	-3	-2	4	8	10	-9	1	-5	-11	
-9	-6	-1	3	5	2	-11	-4	-12	8	13	10	-14	-10	14	9	6	1	-3	-5	-2	11	4	12	-8	-13	
-5	-11	12	-13	14	6	3	-2	-4	-7	10	9	-1	-9	1	5	11	-12	13	-14	-6	-3	2	4	7	-10	
7	1	5	-11	-12	-13	14	-6	3	2	4	-8	-10	8	10	-7	-1	-5	11	12	13	-14	6	-3	-2	-4	
1	-5	-11	-12	13	-14	6	3	2	-4	-8	-7	9	7	-9	-1	5	11	12	-13	14	-6	-3	-2	4	8	
-4	8	10	9	-1	-5	7	12	13	-14	-6	-3	2	3	-2	4	-8	-10	-9	1	5	-7	-12	-13	14	6	
-2	4	-8	10	9	1	-5	-11	7	13	14	-6	-3	6	3	2	-4	8	-10	-9	-1	5	11	-7	-13	-14	
-3	-2	-4	8	-10	9	1	5	-11	-12	-7	14	6	-14	-6	3	2	4	-8	10	-9	-1	-5	11	12	7	
6	3	-2	-4	-8	10	-9	1	5	11	-12	-13	7	13	-7	-6	-3	2	4	8	-10	9	-1	-5	-11	12	
