4	8	-10	-9	-7	5	11	-12	-6	-3	2	3	-2	-4	-8	10	9	7	-5	-11	12	6	
5	11	12	-6	-3	-7	4	8	-10	-9	-1	9	1	-5	-11	-12	6	3	7	-4	-8	10	
11	-12	-6	-7	2	4	-8	-10	-9	1	5	-1	-5	-11	12	6	7	-2	-4	8	10	9	
-1	-5	11	12	6	-3	-2	7	8	10	-9	-10	9	1	5	-11	-12	-6	3	2	-7	-8	
-2	4	8	10	-9	-1	7	11	12	-6	-3	6	3	2	-4	-8	-10	9	1	-7	-11	-12	
-12	7	3	2	-4	-8	-10	9	1	5	-11	-5	11	12	-7	-3	-2	4	8	10	-9	-1	
-10	-6	-9	3	1	2	-5	-4	-11	8	12	-8	-12	10	6	9	-3	-1	-2	5	4	11	
9	-1	-5	-11	12	6	3	-2	-4	-7	10	7	-10	-9	1	5	11	-12	-6	-3	2	4	
-8	-10	7	1	5	-11	-12	-6	3	2	4	-2	-4	8	10	-7	-1	-5	11	12	6	-3	
7	9	1	-5	-11	-12	6	3	2	-4	-8	4	8	-7	-9	-1	5	11	12	-6	-3	-2	
-3	-2	-4	8	10	9	-1	-5	7	12	6	-12	-6	3	2	4	-8	-10	-9	1	5	-7	
6	3	-2	-4	-8	10	9	1	-5	-11	-7	11	7	-6	-3	2	4	8	-10	-9	-1	5	
