-7	-2	-8	3	9	4	-10	-5	-11	6	12	-6	-12	7	2	8	-3	-9	-4	10	5	11	
-12	1	3	4	-5	-6	-7	8	9	10	-11	-10	11	12	-1	-3	-4	5	6	7	-8	-9	
11	-12	-2	-1	4	5	-6	-7	-8	9	10	-9	-10	-11	12	2	1	-4	-5	6	7	8	
10	11	12	-2	-3	-1	5	6	-7	-8	-9	8	9	-10	-11	-12	2	3	1	-5	-6	7	
-9	-10	11	12	2	-3	-4	1	6	7	-8	-7	8	9	10	-11	-12	-2	3	4	-1	-6	
8	-9	-10	-11	12	2	3	-4	-5	-1	7	1	-7	-8	9	10	11	-12	-2	-3	4	5	
1	8	9	-10	-11	-12	2	3	4	-5	-6	5	6	-1	-8	-9	10	11	12	-2	-3	-4	
-6	-7	1	9	10	-11	-12	-2	3	4	5	-4	-5	6	7	-1	-9	-10	11	12	2	-3	
5	6	-7	-8	-1	10	11	-12	-2	-3	4	3	-4	-5	-6	7	8	1	-10	-11	12	2	
-4	5	6	7	-8	-9	1	11	12	-2	-3	2	3	4	-5	-6	-7	8	9	-1	-11	-12	
-3	-4	-5	6	7	8	-9	-10	1	12	2	-12	-2	3	4	5	-6	-7	-8	9	10	-1	
2	3	-4	-5	-6	7	8	9	-10	-11	-1	11	1	-2	-3	4	5	6	-7	-8	-9	10	
