5	20	-4	-17	-9	3	23	-21	-24	-22	30	15	13	-29	-31	-14	16	32	8	-6	7	-19	-25	-11	27	10	2	-26	-28	-12	18	12	-18	-5	-20	4	17	9	-3	-23	21	24	22	-30	-15	-13	29	31	14	-16	-32	-8	6	-7	19	25	11	-27	-10	-2	26	28	
22	-30	15	-13	-29	-31	14	16	32	-8	-6	-7	19	25	11	-27	-10	-9	26	28	-12	-18	-5	20	4	17	-1	-3	-23	21	24	-21	-24	-22	30	-15	13	29	31	-14	-16	-32	8	6	7	-19	-25	-11	27	10	9	-26	-28	12	18	5	-20	-4	-17	1	3	23	
-18	5	20	4	-17	-1	9	23	21	-24	-22	-30	15	13	29	-31	-14	-16	32	8	6	-7	19	-25	-11	-27	10	2	26	-28	-12	28	12	18	-5	-20	-4	17	1	-9	-23	-21	24	22	30	-15	-13	-29	31	14	16	-32	-8	-6	7	-19	25	11	27	-10	-2	-26	
9	17	1	-3	-23	-21	24	22	30	-15	-13	-29	31	14	16	-32	8	-6	-7	-19	25	11	27	-10	-2	-26	28	12	18	-5	-20	5	20	-9	-17	-1	3	23	21	-24	-22	-30	15	13	29	-31	-14	-16	32	-8	6	7	19	-25	-11	-27	10	2	26	-28	-12	-18	
-1	-3	23	21	24	-22	-30	-15	13	29	31	-14	16	-32	-8	-6	7	19	25	-11	-27	-10	2	26	28	-12	-18	-9	20	4	-17	-4	17	1	3	-23	-21	-24	22	30	15	-13	-29	-31	14	-16	32	8	6	-7	-19	-25	11	27	10	-2	-26	-28	12	18	9	-20	
16	-32	-8	-9	7	19	-25	-11	-27	10	2	26	-28	-12	-18	5	20	4	-17	1	-3	-23	-21	24	22	30	-15	-13	-29	31	14	-31	-14	-16	32	8	9	-7	-19	25	11	27	-10	-2	-26	28	12	18	-5	-20	-4	17	-1	3	23	21	-24	-22	-30	15	13	29	
14	16	32	-8	-6	-9	19	25	-11	-27	-10	2	26	28	-12	-18	-5	20	4	17	-1	3	-23	-21	-24	22	30	15	-13	-29	-31	29	31	-14	-16	-32	8	6	9	-19	-25	11	27	10	-2	-26	-28	12	18	5	-20	-4	-17	1	-3	23	21	24	-22	-30	-15	13	
-32	9	6	7	-19	-25	-11	27	10	2	-26	-28	-12	18	5	20	-4	17	-1	-3	-23	21	24	22	-30	-15	-13	29	31	14	-16	-14	16	32	-9	-6	-7	19	25	11	-27	-10	-2	26	28	12	-18	-5	-20	4	-17	1	3	23	-21	-24	-22	30	15	13	-29	-31	
-4	-8	-17	6	1	7	-3	-19	-23	25	21	11	-24	-27	-22	10	30	2	-15	-26	-13	28	29	12	-31	-18	-14	5	16	20	-32	-20	32	4	8	17	-6	-1	-7	3	19	23	-25	-21	-11	24	27	22	-10	-30	-2	15	26	13	-28	-29	-12	31	18	14	-5	-16	
30	-15	-13	-29	31	14	16	-32	-8	-6	7	19	25	-11	-27	-9	2	26	-28	-12	-18	5	20	4	-17	-1	-3	23	21	24	-22	-24	22	-30	15	13	29	-31	-14	-16	32	8	6	-7	-19	-25	11	27	9	-2	-26	28	12	18	-5	-20	-4	17	1	3	-23	-21	
13	29	31	-14	-16	-32	8	6	7	-19	-25	-9	27	10	-2	-26	-28	12	18	5	-20	-4	-17	1	3	23	-21	24	-22	-30	-15	30	15	-13	-29	-31	14	16	32	-8	-6	-7	19	25	9	-27	-10	2	26	28	-12	-18	-5	20	4	17	-1	-3	-23	21	-24	22	
23	-21	-24	-22	30	15	13	-29	31	-14	-16	-32	8	6	7	-19	-25	-11	27	10	2	-26	-28	-9	18	5	-20	-4	-17	1	3	-1	-3	-23	21	24	22	-30	-15	-13	29	-31	14	16	32	-8	-6	-7	19	25	11	-27	-10	-2	26	28	9	-18	-5	20	4	17	
-11	27	10	2	-26	28	-12	-18	-5	20	4	17	-1	-3	-23	21	24	22	-30	-15	9	29	31	-14	-16	-32	8	6	7	-19	-25	19	25	11	-27	-10	-2	26	-28	12	18	5	-20	-4	-17	1	3	23	-21	-24	-22	30	15	-9	-29	-31	14	16	32	-8	-6	-7	
-7	19	25	11	-27	-10	-2	26	28	12	-18	5	-20	-4	-17	1	3	23	-21	-24	-22	30	15	13	-29	-31	9	16	32	-8	-6	8	6	7	-19	-25	-11	27	10	2	-26	-28	-12	18	-5	20	4	17	-1	-3	-23	21	24	22	-30	-15	-13	29	31	-9	-16	-32	
27	10	-2	26	-28	-12	-18	5	20	4	-17	-1	-3	23	21	24	-22	-30	9	13	29	-31	-14	-16	32	8	6	-7	-19	-25	11	25	-11	-27	-10	2	-26	28	12	18	-5	-20	-4	17	1	3	-23	-21	-24	22	30	-9	-13	-29	31	14	16	-32	-8	-6	7	19	
-6	-7	-19	25	11	27	-10	-2	-26	28	12	18	-5	20	-4	-17	-1	3	23	21	-24	-22	-30	15	13	29	-31	-14	-9	32	8	-32	-8	6	7	19	-25	-11	-27	10	2	26	-28	-12	-18	5	-20	4	17	1	-3	-23	-21	24	22	30	-15	-13	-29	31	14	9	
-20	-4	9	1	3	-23	-21	-24	22	30	15	-13	-29	-31	14	16	32	-8	6	-7	-19	-25	11	27	10	-2	-26	-28	12	18	5	-18	-5	20	4	-9	-1	-3	23	21	24	-22	-30	-15	13	29	31	-14	-16	-32	8	-6	7	19	25	-11	-27	-10	2	26	28	-12	
3	23	21	-24	-22	-30	15	13	29	-31	14	-16	-32	-8	6	7	19	-25	-11	-27	10	2	26	-28	-12	9	5	20	-4	-17	-1	17	1	-3	-23	-21	24	22	30	-15	-13	-29	31	-14	16	32	8	-6	-7	-19	25	11	27	-10	-2	-26	28	12	-9	-5	-20	4	
-31	-14	16	32	8	-6	-7	9	25	11	-27	-10	-2	26	28	12	-18	-5	-20	4	17	1	-3	23	-21	-24	-22	30	15	13	-29	-13	29	31	14	-16	-32	-8	6	7	-9	-25	-11	27	10	2	-26	-28	-12	18	5	20	-4	-17	-1	3	-23	21	24	22	-30	-15	
17	-1	-3	-23	21	24	22	-30	-15	-13	29	31	14	-16	32	-8	-6	-7	19	25	11	-27	-10	-2	26	28	12	-18	-5	-9	4	9	-4	-17	1	3	23	-21	-24	-22	30	15	13	-29	-31	-14	16	-32	8	6	7	-19	-25	-11	27	10	2	-26	-28	-12	18	5	
28	12	-18	-5	-20	4	17	1	-3	-23	-9	24	22	-30	-15	-13	29	31	14	-16	-32	-8	6	7	19	-25	11	-27	-10	-2	26	2	-26	-28	-12	18	5	20	-4	-17	-1	3	23	9	-24	-22	30	15	13	-29	-31	-14	16	32	8	-6	-7	-19	25	-11	27	10	
-2	-26	-28	12	18	5	-20	-4	-17	1	3	23	-21	-24	9	30	15	-13	-29	-31	14	16	32	-8	-6	-7	19	25	11	-27	10	27	-10	2	26	28	-12	-18	-5	20	4	17	-1	-3	-23	21	24	-9	-30	-15	13	29	31	-14	-16	-32	8	6	7	-19	-25	-11	
-12	-18	-5	20	4	17	-1	-3	9	21	24	-22	-30	-15	13	29	31	-14	-16	-32	8	6	7	-19	25	-11	-27	-10	2	26	28	-26	-28	12	18	5	-20	-4	-17	1	3	-9	-21	-24	22	30	15	-13	-29	-31	14	16	32	-8	-6	-7	19	-25	11	27	10	-2	
-26	28	12	18	-5	-20	-4	17	1	3	-23	-21	9	22	30	-15	-13	-29	31	14	16	-32	-8	-6	7	19	25	-11	27	-10	-2	10	2	26	-28	-12	-18	5	20	4	-17	-1	-3	23	21	-9	-22	-30	15	13	29	-31	-14	-16	32	8	6	-7	-19	-25	11	-27	
29	-31	-14	-16	32	8	6	-7	-19	-9	11	27	-10	-2	-26	28	12	18	-5	-20	-4	17	1	3	-23	21	-24	-22	-30	15	13	-15	-13	-29	31	14	16	-32	-8	-6	7	19	9	-11	-27	10	2	26	-28	-12	-18	5	20	4	-17	-1	-3	23	-21	24	22	30	
24	22	30	-15	13	-29	-31	-14	16	32	8	-6	-7	-19	25	11	27	-10	-2	9	28	12	-18	-5	-20	4	17	1	-3	-23	-21	23	21	-24	-22	-30	15	-13	29	31	14	-16	-32	-8	6	7	19	-25	-11	-27	10	2	-9	-28	-12	18	5	20	-4	-17	-1	3	
-15	-13	29	31	14	-16	-32	-8	6	7	19	-25	-11	9	10	2	-26	-28	-12	18	5	20	-4	-17	-1	3	23	21	-24	22	-30	-22	30	15	13	-29	-31	-14	16	32	8	-6	-7	-19	25	11	-9	-10	-2	26	28	12	-18	-5	-20	4	17	1	-3	-23	-21	24	
-21	-24	22	30	15	-13	29	-31	-14	-16	32	8	6	-7	-19	-25	11	27	10	-2	-26	-9	12	18	-5	-20	-4	17	1	3	-23	-3	23	21	24	-22	-30	-15	13	-29	31	14	16	-32	-8	-6	7	19	25	-11	-27	-10	2	26	9	-12	-18	5	20	4	-17	-1	
-25	-11	-27	10	2	26	-28	12	-18	-5	-20	4	17	1	-3	-23	-21	24	22	30	-15	-13	-9	31	14	-16	-32	-8	6	7	19	-7	-19	25	11	27	-10	-2	-26	28	-12	18	5	20	-4	-17	-1	3	23	21	-24	-22	-30	15	13	9	-31	-14	16	32	8	-6	
-10	2	-26	-28	-12	18	5	20	-4	-17	-1	3	23	21	-24	-22	-9	15	13	-29	-31	-14	16	32	8	-6	-7	-19	25	11	27	-11	-27	10	-2	26	28	12	-18	-5	-20	4	17	1	-3	-23	-21	24	22	9	-15	-13	29	31	14	-16	-32	-8	6	7	19	-25	
19	25	-11	-27	-10	2	26	28	-12	18	-5	-20	-4	17	1	3	-23	-21	-24	22	30	15	-13	-29	9	14	16	-32	-8	-6	7	6	-7	-19	-25	11	27	10	-2	-26	-28	12	-18	5	20	4	-17	-1	-3	23	21	24	-22	-30	-15	13	29	-9	-14	-16	32	8	
8	6	-7	-19	-25	11	27	10	-2	-26	-28	12	18	5	-20	4	-17	-1	-3	23	21	24	-22	-30	-15	13	29	31	-14	-16	9	16	-9	-8	-6	7	19	25	-11	-27	-10	2	26	28	-12	-18	-5	20	-4	17	1	3	-23	-21	-24	22	30	15	-13	-29	-31	14	
