10	-11	-12	-13	15	14	-16	-8	4	2	3	-6	-5	9	7	-9	-7	-10	11	12	13	-15	-14	16	8	-4	-2	-3	6	5	
15	14	16	-8	-4	-9	3	6	-5	-1	-7	10	11	-12	-13	12	13	-15	-14	-16	8	4	9	-3	-6	5	1	7	-10	-11	
-13	-15	14	16	8	-4	-2	9	6	5	-1	-7	-10	11	12	-11	-12	13	15	-14	-16	-8	4	2	-9	-6	-5	1	7	10	
14	-16	-8	-9	2	3	-6	-5	-1	7	10	-11	-12	13	15	-13	-15	-14	16	8	9	-2	-3	6	5	1	-7	-10	11	12	
-11	-12	13	15	-14	-16	8	4	2	-3	-6	-9	1	7	-10	-7	10	11	12	-13	-15	14	16	-8	-4	-2	3	6	9	-1	
12	13	-15	-14	16	8	4	-2	-3	-9	5	1	-7	-10	-11	10	11	-12	-13	15	14	-16	-8	-4	2	3	9	-5	-1	7	
9	10	11	-12	-13	-15	14	16	-8	-4	2	3	6	-5	-1	5	1	-9	-10	-11	12	13	15	-14	-16	8	4	-2	-3	-6	
-16	9	4	2	-3	-6	-5	1	7	-10	-11	12	13	15	-14	-15	14	16	-9	-4	-2	3	6	5	-1	-7	10	11	-12	-13	
-7	-8	-10	4	11	2	-12	-3	-13	6	15	5	-14	-1	-16	1	16	7	8	10	-4	-11	-2	12	3	13	-6	-15	-5	14	
-1	-7	9	11	12	-13	-15	-14	16	8	-4	-2	3	6	5	-6	-5	1	7	-9	-11	-12	13	15	14	-16	-8	4	2	-3	
5	1	-7	-10	-9	12	13	-15	-14	-16	8	4	-2	-3	6	3	-6	-5	-1	7	10	9	-12	-13	15	14	16	-8	-4	2	
-6	5	1	7	-10	-11	9	13	15	-14	-16	-8	4	2	-3	-2	3	6	-5	-1	-7	10	11	-9	-13	-15	14	16	8	-4	
3	-6	-5	1	7	10	-11	-12	9	15	14	-16	-8	-4	2	4	-2	-3	6	5	-1	-7	-10	11	12	-9	-15	-14	16	8	
-4	-2	-3	6	5	-1	-7	10	11	12	-13	-15	9	16	8	-16	-8	4	2	3	-6	-5	1	7	-10	-11	-12	13	15	-9	
-2	3	6	-5	-1	7	10	11	-12	-13	-9	14	16	-8	-4	8	4	2	-3	-6	5	1	-7	-10	-11	12	13	9	-14	-16	
8	4	-2	-3	-6	5	1	-7	-10	11	12	13	-15	-14	9	14	-9	-8	-4	2	3	6	-5	-1	7	10	-11	-12	-13	15	
